Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
253,0.9325,230.61452712141693,0.5,0.01,9.0,6.957367420196533,-1.0
254,0.9325,231.54702712141693,0.5,0.01,9.0,6.961212635040283,-1.0
255,0.9325,232.47952712141694,0.5,0.01,9.0,6.97039270401001,-1.0
256,0.9325,233.41202712141694,0.5,0.01,9.0,6.990230560302734,-1.0
257,0.925,234.33702712141695,0.3,0.12,10.0,7.000792026519775,-1.0
258,0.925,235.26202712141696,0.3,0.12,10.0,6.99321174621582,-1.0
259,0.9325,236.19452712141697,0.3,0.12,9.0,6.957634925842285,-1.0
260,0.94,237.13452712141697,0.3,0.12,8.0,6.9322099685668945,-1.0
261,0.955,238.08952712141698,0.3,0.12,6.0,6.876475811004639,-1.0
262,0.97,239.05952712141698,0.3,0.12,4.0,6.816718578338623,-1.0
263,0.985,240.044527121417,0.3,0.12,2.0,6.754678726196289,-1.0
264,1.0,241.044527121417,0.5,0.01,0.0,6.686515808105469,-1.0
265,0.9925,242.037027121417,0.5,0.01,-1.0,6.648922443389893,-1.0
266,0.985,243.022027121417,0.5,0.01,-2.0,6.631425380706787,-1.0
267,0.985,244.00702712141702,0.5,0.01,-2.0,6.601771831512451,-1.0
268,0.985,244.99202712141704,0.5,0.01,-2.0,6.562605857849121,-1.0
269,0.985,245.97702712141705,0.5,0.01,-2.0,6.560161113739014,-1.0
270,0.985,246.96202712141707,0.5,0.01,-2.0,6.568476676940918,-1.0
271,0.9925,247.95452712141707,0.5,0.01,-1.0,6.572388648986816,-1.0
272,0.9925,248.94702712141708,0.5,0.01,-1.0,6.558691024780273,-1.0
273,0.9925,249.9395271214171,0.5,0.01,-1.0,6.58621072769165,-1.0
274,0.9925,250.9320271214171,0.5,0.01,-1.0,6.587238788604736,-1.0
275,0.9925,251.9245271214171,0.5,0.01,-1.0,6.588342666625977,-1.0
276,1.0,252.9245271214171,0.5,0.01,0.0,6.59897518157959,-1.0
277,1.0,253.9245271214171,0.5,0.01,0.0,6.604918003082275,-1.0
278,1.0,254.9245271214171,0.5,0.01,0.0,6.645583152770996,-1.0
279,1.0,255.9245271214171,0.5,0.01,0.0,6.664375305175781,-1.0
280,1.0,256.9245271214171,0.5,0.01,0.0,6.6968865394592285,-1.0
281,1.0,257.9245271214171,0.5,0.01,0.0,6.6866374015808105,-1.0
282,0.9925,258.9170271214171,0.3,0.12,1.0,6.709692001342773,-1.0
283,0.9925,259.9095271214171,0.3,0.12,1.0,6.697189807891846,-1.0
284,1.0,260.9095271214171,0.3,0.12,0.0,6.657429218292236,-1.0
285,0.9925,261.9020271214171,0.3,0.12,-1.0,6.632985591888428,-1.0
286,0.9775,262.87952712141714,0.3,0.12,-3.0,6.584405422210693,-1.0
287,0.97,263.84952712141717,0.5,0.01,-4.0,6.530050754547119,-1.0
288,0.9625,264.81202712141715,0.5,0.01,-5.0,6.481043815612793,-1.0
289,0.9625,265.7745271214171,0.5,0.01,-5.0,6.444152355194092,-1.0
290,0.9625,266.7370271214171,0.5,0.01,-5.0,6.417534351348877,-1.0
291,0.97,267.7070271214171,0.5,0.01,-4.0,6.39749813079834,-1.0
292,0.97,268.67702712141715,0.5,0.01,-4.0,6.393471717834473,-1.0
293,0.9775,269.6545271214172,0.5,0.01,-3.0,6.395753383636475,-1.0
294,0.985,270.6395271214172,0.5,0.01,-2.0,6.391185760498047,-1.0
295,0.985,271.6245271214172,0.5,0.01,-2.0,6.384864807128906,-1.0
296,0.9925,272.6170271214172,0.5,0.01,-1.0,6.381478786468506,-1.0
297,1.0,273.6170271214172,0.5,0.01,0.0,6.382035732269287,-1.0
298,1.0,274.6170271214172,0.3,0.12,0.0,6.384758949279785,-1.0
299,0.9925,275.6095271214172,0.3,0.12,1.0,6.392369747161865,-1.0
300,1.0,276.6095271214172,0.3,0.12,0.0,6.376070499420166,-1.0
301,0.9925,277.6020271214172,0.3,0.12,-1.0,6.353699207305908,-1.0
302,0.985,278.58702712141724,0.3,0.12,-2.0,6.327579975128174,-1.0
303,0.9775,279.56452712141726,0.5,0.01,-3.0,6.292667865753174,-1.0
304,0.9625,280.52702712141723,0.5,0.01,-5.0,6.251850128173828,-1.0
305,0.9625,281.4895271214172,0.5,0.01,-5.0,6.230997562408447,-1.0
306,0.9625,282.4520271214172,0.5,0.01,-5.0,6.2137861251831055,-1.0
307,0.9625,283.41452712141717,0.5,0.01,-5.0,6.199149131774902,-1.0
308,0.97,284.3845271214172,0.5,0.01,-4.0,6.190194606781006,-1.0
309,0.97,285.3545271214172,0.5,0.01,-4.0,6.185826778411865,-1.0
310,0.97,286.32452712141725,0.5,0.01,-4.0,6.218756675720215,-1.0
311,0.9775,287.30202712141727,0.5,0.01,-3.0,6.202267646789551,-1.0
312,0.9775,288.2795271214173,0.5,0.01,-3.0,6.240537166595459,-1.0
313,0.985,289.2645271214173,0.5,0.01,-2.0,6.2489118576049805,-1.0
314,0.985,290.2495271214173,0.3,0.12,-2.0,6.290290355682373,-1.0
315,0.9925,291.2420271214173,0.3,0.12,-1.0,6.263174533843994,-1.0
316,0.9925,292.23452712141733,0.3,0.12,-1.0,6.259964942932129,-1.0
317,0.985,293.21952712141734,0.3,0.12,-2.0,6.241440773010254,-1.0
318,0.9775,294.19702712141736,0.3,0.12,-3.0,6.214583396911621,-1.0
319,0.97,295.1670271214174,0.5,0.01,-4.0,6.157339096069336,-1.0
320,0.955,296.1220271214174,0.5,0.01,-6.0,6.123773097991943,-1.0
321,0.955,297.07702712141736,0.5,0.01,-6.0,6.079596042633057,-1.0
322,0.9625,298.03952712141734,0.5,0.01,-5.0,6.062085151672363,-1.0
323,0.9625,299.0020271214173,0.5,0.01,-5.0,6.067600727081299,-1.0
324,0.97,299.97202712141734,0.5,0.01,-4.0,6.071056842803955,-1.0
325,0.97,300.94202712141737,0.5,0.01,-4.0,6.065502643585205,-1.0
326,0.9775,301.9195271214174,0.5,0.01,-3.0,6.082827568054199,-1.0
