Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
241,12.427216146665486,143,False,-107.0,-1.0,3.85277213422146,5.260419951004491,100.0
242,52.61649401157834,215,False,-107.0,-1.0,3.934657882184913,7.054808950993817,66.51162790697674
243,67.62108312647759,252,False,-107.0,-1.0,3.9814057501468745,7.7235704528182625,100.0
244,98.42511384803058,212,False,-108.0,-1.0,3.8454974201657173,6.434272688623509,47.16981132075472
245,87.6792519792211,222,False,-104.0,-1.0,3.688716663647123,6.932243781395546,56.30630630630631
246,107.84003813391732,277,False,-111.0,-1.0,3.941509836083232,7.550542908935011,74.72924187725631
247,-19.59344424811068,137,False,-94.0,-1.0,3.8493038890977203,4.396694598150147,100.0
248,64.16892196790235,206,False,-97.0,-1.0,3.790063178113854,7.153292603207553,60.19417475728155
249,23.188213989178834,164,False,-73.0,-1.0,3.8777703354196453,6.021757736922775,100.0
250,37.16920878059166,164,False,-98.0,-1.0,3.6564598722321864,6.297326257699396,98.17073170731707
251,64.64036434372666,211,False,-105.0,-1.0,3.8017129767634095,6.433278342392251,76.30331753554502
252,94.1703192575975,222,False,-103.0,-1.0,3.7944022592063233,6.953929341603741,68.46846846846847
253,82.76714109575573,190,False,-99.0,-1.0,3.7591821429359493,6.41163396312316,53.1578947368421
254,51.497326843024055,227,False,-99.0,-1.0,3.947372451414086,7.098889764189097,92.07048458149781
255,-12.152210988279585,108,False,-108.0,-1.0,3.912389635283944,4.595449935543541,100.0
256,64.31139434560417,196,False,-107.0,-1.0,3.865769893308971,6.736255686586409,62.244897959183675
257,12.347773268907346,128,False,-92.0,-1.0,3.801513959828653,5.3833063474085066,100.0
258,66.36227508857202,195,False,-103.0,-1.0,3.409846781016549,6.034582310616493,65.12820512820512
259,46.365753144251215,149,False,-99.0,-1.0,3.799835041140572,5.622115764421592,87.24832214765101
260,72.40484784697566,195,False,-94.0,-1.0,3.7667272151828235,6.1421119660628625,71.28205128205128
261,-28.747078840273225,114,False,-86.0,-1.0,3.9319329433042487,4.24487605161777,100.0
262,83.64353351028612,218,False,-85.0,-1.0,3.7016940240133374,6.94950102524268,98.1651376146789
263,70.2558439631743,225,False,-101.0,-1.0,3.992066840045405,6.842750159770043,80.44444444444444
264,51.184231089327014,206,False,-85.0,-1.0,3.8758190944230564,6.7067769922223395,99.51456310679612
265,39.09751604043325,253,False,-92.0,-1.0,3.9828391731512474,7.452376741948151,99.2094861660079
266,0.9772173727188402,153,False,-102.0,-1.0,3.9714601733637127,4.430034195191647,100.0
267,-7.726034094257891,144,False,-98.0,-1.0,3.9937480166759154,4.405441684619291,100.0
268,30.29572984328165,152,False,-90.0,-1.0,3.848883074214039,5.988308124615287,98.68421052631578
269,5.057784654642546,120,False,-97.0,-1.0,3.987996166231028,4.606744808629931,100.0
270,101.74390025812929,330,False,-90.0,-1.0,3.874619080028636,7.846973740971986,83.93939393939394
271,60.738973124215505,171,False,-96.0,-1.0,3.747193650996973,6.1421887574850835,71.9298245614035
272,50.41188014285092,181,False,-99.0,-1.0,3.9373708868742137,6.036031847702628,74.03314917127072
273,67.00912618486473,280,False,-88.0,-1.0,3.539171217911425,7.288494504713786,80.71428571428572
274,16.972126734536033,208,False,-101.0,-1.0,3.950070986250176,4.527312674640248,100.0
275,42.36857775680852,177,False,-101.0,-1.0,3.982190466097871,6.0232295421844,90.3954802259887
